鮮卑姓,漢化改姓,常用稱謂,姓簡稱,魏書記載,類別,標籤,通鑑代表人物,改姓備註,源流備註,其餘備註
拓跋,元,拓跋,,0,十姓,,拓跋珪,,,皇族
紇骨,胡,,,1,十姓,,,,,七族
普,周,周,,2,十姓,,周幾,,,七族
拔拔,長孫,長孫,,3,十姓,,長孫嵩,魏書誤記為拔拔為拓跋,,七族
達奚,奚,奚,,4,十姓,,奚斤,,,七族
伊婁,伊、婁,伊,,5,十姓,,伊謂、伊樓拔,魏書記載僅改伊,,七族，沒什麽名
丘敦,丘,丘,,6,十姓,,丘堆,,,七族
侯,亥,,,7,十姓,,,侯應為俟亥,,七族
乙旃,叔孫,叔孫,,8,十姓,,叔孫建,,,魏孝文帝叔父
車焜,車,,,9,十姓,,,,,疏屬
丘穆陵,穆,穆,,10,統帥諸部,八姓,穆崇,,,
步六孤,陸,,,11,統帥諸部,八姓,陸俟,,,
賀賴,賀,,,12,統帥諸部,八姓,,,,可能與賀賴頭有關
獨孤,劉,獨孤,,13,統帥諸部,八姓,劉顯 (獨孤部),,匈奴,
賀樓,樓,樓,,14,統帥諸部,八姓,樓伏連,,,
勿忸于,于,于,,15,統帥諸部,八姓,于什門,,,
是連,連,,,16,統帥諸部,,,,,
僕蘭,僕,,,17,統帥諸部,,,,,
若干,苟,苟,,18,統帥諸部,,苟兒,,,沒什麽名
拔列,梁,,,19,統帥諸部,,,拔列應為拔列蘭,,
撥略,略,,,20,統帥諸部,,,或言拔略改為蘇,,
若口引,寇,,,21,統帥諸部,,,,,
叱羅,羅,羅,,22,統帥諸部,,羅結,,,
普陋茹,茹,,,23,統帥諸部,,,,,
賀葛,葛,,,24,統帥諸部,,,,,
是賁,封,,,25,統帥諸部,,封敕文,,,
阿伏于,阿,,,26,統帥諸部,,阿薄干,阿伏于應為阿伏干,,
可地延,延,延,,27,統帥諸部,,延普,,,
阿鹿桓,鹿,,,28,統帥諸部,,,,,
他駱拔,駱,,,29,統帥諸部,,,,,
薄奚,薄,,,30,統帥諸部,,,,,
烏丸,王、桓,王,,31,統帥諸部,,王建、桓貸,魏書記載僅改桓,,
素和,和,和,,32,統帥諸部,,和跋,,,
吐谷渾,吐谷渾,慕容,,33,統帥諸部,,慕容吐谷渾,未改,吐谷渾,
胡古口引,侯,,,34,統帥諸部,,,或言為古口引、古引、胡引、胡引祖,,
賀若,賀若,,,35,統帥諸部,,,未改,,
谷渾,渾,,,36,統帥諸部,,,,,
匹婁,婁,,,37,統帥諸部,,,,,
俟力伐,鮑,,,38,統帥諸部,,,,,
吐伏盧、豆盧,盧,盧,,39,統帥諸部,,盧魯元,魏書記載僅吐伏盧,,
牒云,云,,,40,統帥諸部,,,,,
是云,是,,,41,統帥諸部,,,,,
叱利,利,,,42,統帥諸部,,,,,
副呂,副,,,43,統帥諸部,,,,,
如羅,如,,,44,統帥諸部,,,,,
乞扶,扶,,,45,統帥諸部,,,,,
阿單,單,,,46,統帥諸部,,,或言為可單，或與渴單重複,,
俟幾,幾,,,47,統帥諸部,,,或言俟幾為侯幾、俟畿,,
賀兒,兒,,,48,統帥諸部,,,,,
吐奚,古,古,,49,統帥諸部,,古弼,,,
出連,畢,出連,,50,統帥諸部,,出連乞都,,鮮卑,
庾,庾,庾,,51,統帥諸部,,庾和辰,,,
賀拔,何,,,52,統帥諸部,,,,,
叱呂,呂,,,53,統帥諸部,,呂羅漢,源自鮮卑族,,
莫那婁,莫,莫,,54,統帥諸部,,莫題,,,
奚斗盧,索盧,,,55,統帥諸部,,,,,索盧是漢族複姓
莫蘆,蘆,,,56,統帥諸部,,,,,
出大汗,韓,,,57,統帥諸部,,,或言為步大汗,,
沒路真,路,,,58,統帥諸部,,,,,
扈地于,扈,,,59,統帥諸部,,,,,
莫輿,輿,,,60,統帥諸部,,慕輿根,莫輿即慕輿,慕容鮮卑,
紇干,干,,,61,統帥諸部,,,,,
俟伏斤,伏,,,62,統帥諸部,,,,,
是樓,高,,,63,統帥諸部,,,,,
尸突,屈,,,64,統帥諸部,,,尸突應為屈突,,
沓盧,沓,,,65,統帥諸部,,,,,
嗢石蘭,石,,,66,統帥諸部,,,,,
解枇,解,,,67,統帥諸部,,,,,
奇斤,奇,,,68,統帥諸部,,,,,
須卜,卜,,,69,統帥諸部,,,,,可能與王昭君有關
丘林,林,,,70,統帥諸部,,,,,
大莫干,郃,,,71,統帥諸部,,,,,
尒緜,緜,,,72,統帥諸部,,,,,尒即爾
蓋樓,樓,,,73,統帥諸部,,,,,
素黎,黎,,,74,統帥諸部,,,,,
渴單,單,,,75,統帥諸部,,,,,
壹斗眷,明,,,76,統帥諸部,,,,,
叱門,門,,,77,統帥諸部,,,,,
宿六斤,宿,宿,,78,統帥諸部,,文陳,,匈奴,劉衛辰子賜姓
馥邗,邗,,,79,統帥諸部,,,,,
土難,山,,,80,統帥諸部,,,,,
屋引,房,屋引,,81,統帥諸部,,屋引出支,,乞伏鮮卑,
樹洛于,樹,,,82,統帥諸部,,樹洛干,樹洛于應為樹洛干,吐谷渾,
乙弗,乙,乙弗,,83,統帥諸部,,乙弗利,,高句麗,
宇文,宇文,宇文,,84,統帥諸部,,宇文逸豆歸,,宇文鮮卑,
慕容,慕容,慕容,,85,統帥諸部,,慕容皝,,慕容鮮卑,
茂眷,茂,,,86,統帥諸部,,,茂眷應為茙眷,,南方鮮卑某支
宥連,雲,,,87,統帥諸部,,,,原為一部落，被奚斤破,
紇豆陵,竇,,,88,統帥諸部,,,,,
侯莫陳,陳,,,89,統帥諸部,,陳建,,原為一部落，被奚斤破,
厙狄,狄,厙狄,,90,統帥諸部,,厙狄越豆眷,魏書誤記為庫狄,原為一部落，被奚斤破,
太洛稽,稽,,,91,統帥諸部,,,,,
柯拔,柯,,,92,統帥諸部,,,,,
尉遲,尉,尉,,93,統帥諸部,八姓,尉古真,,,
步鹿根,步,,,94,統帥諸部,,,,,
破多羅、多蘭,潘,破多羅,,95,統帥諸部,,沒奕干,魏書記載僅為破多羅,,
叱干,薛,薛,,96,統帥諸部,,薛干太悉伏,,薛干部，收留赫連勃勃,
俟奴,俟,,,97,統帥諸部,,,,,
輾遲,展,,,98,統帥諸部,,,,,
費連,費,,,99,統帥諸部,,,,,
其連,綦,,,100,統帥諸部,,,其連應為綦連,,
去斤,艾,,,101,統帥諸部,,,,,
渴侯,緱,,,102,統帥諸部,,,,,
叱盧,祝,,,103,統帥諸部,,,,,
和稽,緩,,,104,統帥諸部,,,,,
寃賴,就,,,105,統帥諸部,,,或言為菟賴、就賴,,
嗢盆,溫,,,106,統帥諸部,,,,,
達勃,褒,,,107,統帥諸部,,,,,
獨孤渾,杜,,,108,統帥諸部,,,,,
賀蘭,賀,,,109,四方諸部,,賀訥,,賀蘭鮮卑,北方
郁都甄,甄,,,110,四方諸部,,,或為郁原甄氏，源於休屠,,
紇奚,嵇,,,111,四方諸部,八姓,嵇敬,,,應源自高車
越勒,越,,,112,四方諸部,,,或為越勤、越彊,,
叱奴,狼,,,113,四方諸部,,叱奴根,,高車,沒什麽名，紇奚部
渴燭渾,味,,,114,四方諸部,,,或言改為朱氏,,
庫傉官,庫,庫傉官,,115,四方諸部,,庫傉官偉,魏書記載為庫褥官,鮮卑或烏桓餘種,
烏洛蘭,蘭,,,116,四方諸部,,,,,
一那蔞,蔞,,,117,四方諸部,,,,,
羽弗,羽,,,118,四方諸部,,,,,
斛斯,,斛,斛,,補遺,,斛斯蘭,,,沒什麽名
郁久閭,,閭,閭,,補遺,,閭大肥,,柔然,
豆連,,豆,豆,,補遺,,豆代田,,,
